,0
0,1219
1,1220
2,1221
3,1232
4,1233
5,6260
6,6261
7,6586
8,6587
9,6985
10,6986
11,7867
12,10302
13,11952
14,11953
15,12373
16,12519
17,14495
18,15454
19,16971
20,21494
21,21495
22,21496
23,21497
24,25124
25,36301
26,37709
27,38231
28,38232
29,39553
30,42136
31,46135
32,48831
33,49967
34,54444
