,0
0,0
1,1
2,3
3,6
4,7
5,10
6,28
7,29
8,30
9,31
10,32
11,33
12,34
13,35
14,36
15,38
16,39
17,40
18,41
19,42
20,43
21,44
22,45
23,46
24,47
25,48
26,49
27,51
28,52
29,55
30,56
31,59
32,60
33,64
34,76
35,77
36,78
37,79
38,97
39,103
40,104
41,105
42,107
43,110
44,113
45,148
46,149
47,150
48,151
49,154
50,158
51,159
52,161
53,166
54,169
55,196
56,202
57,207
58,208
59,209
60,210
61,211
62,212
63,213
64,214
65,215
66,217
67,220
68,228
69,229
70,234
71,235
72,236
73,237
74,238
75,263
76,281
77,294
78,295
79,296
80,297
81,298
82,299
83,300
84,301
85,302
86,303
87,304
88,305
89,306
90,307
91,308
92,309
93,310
94,311
95,312
96,313
97,314
98,315
99,316
100,317
101,318
102,319
103,320
104,321
105,322
106,323
107,324
108,325
109,326
110,327
111,328
112,329
113,330
114,331
115,333
116,334
117,335
118,336
119,337
120,338
121,339
122,340
123,341
124,342
125,343
126,345
127,346
128,347
129,348
130,349
131,350
132,351
133,352
134,362
135,363
136,369
137,370
138,371
139,372
140,382
141,383
142,384
143,390
144,421
145,427
146,440
147,476
148,477
149,478
150,480
151,481
152,488
153,489
154,490
155,491
156,492
157,493
158,494
159,495
160,496
161,497
162,498
163,499
164,500
165,501
166,502
167,503
168,504
169,505
170,506
171,507
172,508
173,509
174,510
175,511
176,512
177,517
178,518
179,519
180,520
181,530
182,537
183,538
184,539
185,540
186,541
187,542
188,543
189,544
190,545
191,546
192,547
193,548
194,549
195,550
196,551
197,552
198,553
199,554
200,555
201,556
202,557
203,558
204,559
205,560
206,576
207,577
208,578
209,579
210,580
211,581
212,582
213,583
214,584
215,585
216,586
217,587
218,588
219,589
220,590
221,591
222,592
223,593
224,594
225,595
226,596
227,602
228,604
229,608
230,687
231,693
232,697
233,706
234,707
235,708
236,709
237,710
238,711
239,712
240,713
241,714
242,715
243,716
244,717
245,720
246,723
247,725
248,729
249,754
250,758
251,759
252,760
253,761
254,762
255,763
256,764
257,765
258,766
259,767
260,768
261,769
262,770
263,771
264,772
265,773
266,774
267,775
268,776
269,777
270,778
271,779
272,780
273,781
274,782
275,783
276,784
277,785
278,786
279,787
280,788
281,789
282,790
283,791
284,792
285,793
286,794
287,795
288,796
289,797
290,798
291,799
292,800
293,801
294,802
295,803
296,804
297,805
298,806
299,807
300,808
301,809
302,810
303,811
304,812
305,813
306,814
307,815
308,816
309,817
310,818
311,819
312,820
313,821
314,822
315,823
316,824
317,825
318,826
319,827
320,828
321,829
322,833
323,838
324,857
325,858
326,862
327,877
328,879
329,883
330,884
331,886
332,887
333,889
334,890
335,894
336,905
337,906
338,907
339,926
340,931
341,959
342,960
343,961
344,962
345,968
346,969
347,970
348,971
